dt=0.072135	<n>=2.055000	varianca=2.201975
1	0.261000	2.632308e-01
2	3698400955696821770683366630227968.000000	2.704696e-01
3	0.167000	1.852717e-01
4	0.098000	9.518334e-02
5	0.037000	3.912035e-02
6	0.015000	1.339872e-02
7	0.008000	3.933482e-03
8	0.001993	1.010413e-03
9	0.000000	2.307110e-04
10	0.000000	4.741111e-05
11	0.000000	8.857259e-06
12	3125722156398159321888313644679168.000000	1.516806e-06
13	0.000000	2.397720e-07
14	0.000000	3.519510e-08
15	0.000000	4.821729e-09
16	0.000000	6.192908e-10
17	0.000000	7.486134e-11
18	-0.000007	8.546669e-12
19	0.000000	9.243898e-13
20	0.000000	9.498106e-14
